230,250,20,20
275,250,20,20
320,250,20,20
365,250,20,20
185,295,20,20
230,295,20,20
275,295,20,20
320,295,20,20
365,295,20,20
410,295,20,20
140,340,20,20
185,340,20,20
230,340,20,20
275,340,20,20
320,340,20,20
365,340,20,20
410,340,20,20
455,340,20,20
95,385,20,20
140,385,20,20
185,385,20,20
230,385,20,20
275,385,20,20
320,385,20,20
365,385,20,20
410,385,20,20
455,385,20,20
500,385,20,20
95,430,20,20
140,430,20,20
185,430,20,20
230,430,20,20
275,430,20,20
320,430,20,20
365,430,20,20
410,430,20,20
455,430,20,20
500,430,20,20
295,450,20,20
95,475,20,20
140,475,20,20
185,475,20,20
230,475,20,20
275,475,20,20
320,475,20,20
365,475,20,20
410,475,20,20
455,475,20,20
500,475,20,20
95,520,20,20
140,520,20,20
185,520,20,20
230,520,20,20
275,520,20,20
320,520,20,20
365,520,20,20
410,520,20,20
455,520,20,20
500,520,20,20
140,565,20,20
185,565,20,20
230,565,20,20
275,565,20,20
320,565,20,20
365,565,20,20
410,565,20,20
455,565,20,20
185,610,20,20
230,610,20,20
275,610,20,20
320,610,20,20
365,610,20,20
410,610,20,20
230,655,20,20
275,655,20,20
320,655,20,20
365,655,20,20
